,date,home_team,score,away_team,season
323,26-12-2017,Watford,2 - 1,Leicester,17/18
324,30-12-2017,Liverpool,2 - 1,Leicester,17/18
325,01-01-2018,Leicester,3 - 0,Huddersfield,17/18
326,13-01-2018,Chelsea,0 - 0,Leicester,17/18
327,20-01-2018,Leicester,2 - 0,Watford,17/18
328,31-01-2018,Everton,2 - 1,Leicester,17/18
329,03-02-2018,Leicester,1 - 1,Swansea,17/18
330,10-02-2018,Man City,5 - 1,Leicester,17/18
331,24-02-2018,Leicester,1 - 1,Stoke,17/18
332,03-03-2018,Leicester,1 - 1,Bournemouth,17/18
333,10-03-2018,West Brom,1 - 4,Leicester,17/18
334,31-03-2018,Brighton,0 - 2,Leicester,17/18
335,07-04-2018,Leicester,1 - 2,Newcastle,17/18
336,14-04-2018,Burnley,2 - 1,Leicester,17/18
337,19-04-2018,Leicester,0 - 0,Southampton,17/18
338,28-04-2018,Crystal Palace,5 - 0,Leicester,17/18
339,05-05-2018,Leicester,0 - 2,West Ham,17/18
340,09-05-2018,Leicester,3 - 1,Arsenal,17/18
341,13-05-2018,Tottenham,5 - 4,Leicester,17/18
342,12-08-2017,Watford,3 - 3,Liverpool,17/18
343,19-08-2017,Liverpool,1 - 0,Crystal Palace,17/18
344,27-08-2017,Liverpool,4 - 0,Arsenal,17/18
345,09-09-2017,Man City,5 - 0,Liverpool,17/18
346,16-09-2017,Liverpool,1 - 1,Burnley,17/18
347,23-09-2017,Leicester,2 - 3,Liverpool,17/18
348,01-10-2017,Newcastle,1 - 1,Liverpool,17/18
349,14-10-2017,Liverpool,0 - 0,Man United,17/18
350,22-10-2017,Tottenham,4 - 1,Liverpool,17/18
351,28-10-2017,Liverpool,3 - 0,Huddersfield,17/18
352,04-11-2017,West Ham,1 - 4,Liverpool,17/18
353,18-11-2017,Liverpool,3 - 0,Southampton,17/18
354,25-11-2017,Liverpool,1 - 1,Chelsea,17/18
355,29-11-2017,Stoke,0 - 3,Liverpool,17/18
356,02-12-2017,Brighton,1 - 5,Liverpool,17/18
357,10-12-2017,Liverpool,1 - 1,Everton,17/18
358,13-12-2017,Liverpool,0 - 0,West Brom,17/18
359,17-12-2017,Bournemouth,0 - 4,Liverpool,17/18
360,22-12-2017,Arsenal,3 - 3,Liverpool,17/18
361,26-12-2017,Liverpool,5 - 0,Swansea,17/18
362,30-12-2017,Liverpool,2 - 1,Leicester,17/18
363,01-01-2018,Burnley,1 - 2,Liverpool,17/18
364,14-01-2018,Liverpool,4 - 3,Man City,17/18
365,22-01-2018,Swansea,1 - 0,Liverpool,17/18
366,30-01-2018,Huddersfield,0 - 3,Liverpool,17/18
367,04-02-2018,Liverpool,2 - 2,Tottenham,17/18
368,11-02-2018,Southampton,0 - 2,Liverpool,17/18
369,24-02-2018,Liverpool,4 - 1,West Ham,17/18
370,03-03-2018,Liverpool,2 - 0,Newcastle,17/18
371,10-03-2018,Man United,2 - 1,Liverpool,17/18
372,17-03-2018,Liverpool,5 - 0,Watford,17/18
373,31-03-2018,Crystal Palace,1 - 2,Liverpool,17/18
374,07-04-2018,Everton,0 - 0,Liverpool,17/18
375,14-04-2018,Liverpool,3 - 0,Bournemouth,17/18
376,21-04-2018,West Brom,2 - 2,Liverpool,17/18
377,28-04-2018,Liverpool,0 - 0,Stoke,17/18
378,06-05-2018,Chelsea,1 - 0,Liverpool,17/18
379,13-05-2018,Liverpool,4 - 0,Brighton,17/18
380,12-08-2017,Brighton,0 - 2,Man City,17/18
381,21-08-2017,Man City,1 - 1,Everton,17/18
382,26-08-2017,Bournemouth,1 - 2,Man City,17/18
383,09-09-2017,Man City,5 - 0,Liverpool,17/18
384,16-09-2017,Watford,0 - 6,Man City,17/18
385,23-09-2017,Man City,5 - 0,Crystal Palace,17/18
386,30-09-2017,Chelsea,0 - 1,Man City,17/18
387,14-10-2017,Man City,7 - 2,Stoke,17/18
388,21-10-2017,Man City,3 - 0,Burnley,17/18
389,28-10-2017,West Brom,2 - 3,Man City,17/18
390,05-11-2017,Man City,3 - 1,Arsenal,17/18
391,18-11-2017,Leicester,0 - 2,Man City,17/18
392,26-11-2017,Huddersfield,1 - 2,Man City,17/18
393,29-11-2017,Man City,2 - 1,Southampton,17/18
394,03-12-2017,Man City,2 - 1,West Ham,17/18
395,10-12-2017,Man United,1 - 2,Man City,17/18
396,13-12-2017,Swansea,0 - 4,Man City,17/18
397,16-12-2017,Man City,4 - 1,Tottenham,17/18
398,23-12-2017,Man City,4 - 0,Bournemouth,17/18
399,27-12-2017,Newcastle,0 - 1,Man City,17/18
400,31-12-2017,Crystal Palace,0 - 0,Man City,17/18
401,02-01-2018,Man City,3 - 1,Watford,17/18
402,14-01-2018,Liverpool,4 - 3,Man City,17/18
403,20-01-2018,Man City,3 - 1,Newcastle,17/18
404,31-01-2018,Man City,3 - 0,West Brom,17/18
405,03-02-2018,Burnley,1 - 1,Man City,17/18
406,10-02-2018,Man City,5 - 1,Leicester,17/18
407,01-03-2018,Arsenal,0 - 3,Man City,17/18
408,04-03-2018,Man City,1 - 0,Chelsea,17/18
409,12-03-2018,Stoke,0 - 2,Man City,17/18
410,31-03-2018,Everton,1 - 3,Man City,17/18
411,07-04-2018,Man City,2 - 3,Man United,17/18
412,14-04-2018,Tottenham,1 - 3,Man City,17/18
413,22-04-2018,Man City,5 - 0,Swansea,17/18
414,29-04-2018,West Ham,1 - 4,Man City,17/18
415,06-05-2018,Man City,0 - 0,Huddersfield,17/18
416,09-05-2018,Man City,3 - 1,Brighton,17/18
417,13-05-2018,Southampton,0 - 1,Man City,17/18
418,13-08-2017,Man United,4 - 0,West Ham,17/18
419,19-08-2017,Swansea,0 - 4,Man United,17/18
420,26-08-2017,Man United,2 - 0,Leicester,17/18
421,09-09-2017,Stoke,2 - 2,Man United,17/18
422,17-09-2017,Man United,4 - 0,Everton,17/18
423,23-09-2017,Southampton,0 - 1,Man United,17/18
424,30-09-2017,Man United,4 - 0,Crystal Palace,17/18
425,14-10-2017,Liverpool,0 - 0,Man United,17/18
426,21-10-2017,Huddersfield,2 - 1,Man United,17/18
427,28-10-2017,Man United,1 - 0,Tottenham,17/18
428,05-11-2017,Chelsea,1 - 0,Man United,17/18
429,18-11-2017,Man United,4 - 1,Newcastle,17/18
430,25-11-2017,Man United,1 - 0,Brighton,17/18
431,28-11-2017,Watford,2 - 4,Man United,17/18
432,02-12-2017,Arsenal,1 - 3,Man United,17/18
433,10-12-2017,Man United,1 - 2,Man City,17/18
434,13-12-2017,Man United,1 - 0,Bournemouth,17/18
435,17-12-2017,West Brom,1 - 2,Man United,17/18
436,23-12-2017,Leicester,2 - 2,Man United,17/18
437,26-12-2017,Man United,2 - 2,Burnley,17/18
438,30-12-2017,Man United,0 - 0,Southampton,17/18
439,01-01-2018,Everton,0 - 2,Man United,17/18
440,15-01-2018,Man United,3 - 0,Stoke,17/18
441,20-01-2018,Burnley,0 - 1,Man United,17/18
442,31-01-2018,Tottenham,2 - 0,Man United,17/18
443,03-02-2018,Man United,2 - 0,Huddersfield,17/18
444,11-02-2018,Newcastle,1 - 0,Man United,17/18
445,25-02-2018,Man United,2 - 1,Chelsea,17/18
446,05-03-2018,Crystal Palace,2 - 3,Man United,17/18
447,10-03-2018,Man United,2 - 1,Liverpool,17/18
448,31-03-2018,Man United,2 - 0,Swansea,17/18
449,07-04-2018,Man City,2 - 3,Man United,17/18
450,15-04-2018,Man United,0 - 1,West Brom,17/18
451,18-04-2018,Bournemouth,0 - 2,Man United,17/18
452,29-04-2018,Man United,2 - 1,Arsenal,17/18
453,04-05-2018,Brighton,1 - 0,Man United,17/18
454,10-05-2018,West Ham,0 - 0,Man United,17/18
455,13-05-2018,Man United,1 - 0,Watford,17/18
456,13-08-2017,Newcastle,0 - 2,Tottenham,17/18
457,20-08-2017,Huddersfield,1 - 0,Newcastle,17/18
458,26-08-2017,Newcastle,3 - 0,West Ham,17/18
459,10-09-2017,Swansea,0 - 1,Newcastle,17/18
460,16-09-2017,Newcastle,2 - 1,Stoke,17/18
461,24-09-2017,Brighton,1 - 0,Newcastle,17/18
462,01-10-2017,Newcastle,1 - 1,Liverpool,17/18
463,15-10-2017,Southampton,2 - 2,Newcastle,17/18
